,file_name,condition,replicate,name
knockout_11,Snf2_rep11_MID01_allLanes_tophat2.0.5.bam.gbgout,knockout,11,knockout_11
knockout_12,Snf2_rep12_MID02_allLanes_tophat2.0.5.bam.gbgout,knockout,12,knockout_12
knockout_14,Snf2_rep14_MID33_allLanes_tophat2.0.5.bam.gbgout,knockout,14,knockout_14
knockout_15,Snf2_rep15_MID75_allLanes_tophat2.0.5.bam.gbgout,knockout,15,knockout_15
knockout_16,Snf2_rep16_MID72_allLanes_tophat2.0.5.bam.gbgout,knockout,16,knockout_16
knockout_17,Snf2_rep17_MID89_allLanes_tophat2.0.5.bam.gbgout,knockout,17,knockout_17
knockout_18,Snf2_rep18_MID40_allLanes_tophat2.0.5.bam.gbgout,knockout,18,knockout_18
knockout_19,Snf2_rep19_MID84_allLanes_tophat2.0.5.bam.gbgout,knockout,19,knockout_19
knockout_20,Snf2_rep20_MID15_allLanes_tophat2.0.5.bam.gbgout,knockout,20,knockout_20
knockout_21,Snf2_rep21_MID31_allLanes_tophat2.0.5.bam.gbgout,knockout,21,knockout_21
knockout_22,Snf2_rep22_MID53_allLanes_tophat2.0.5.bam.gbgout,knockout,22,knockout_22
knockout_23,Snf2_rep23_MID25_allLanes_tophat2.0.5.bam.gbgout,knockout,23,knockout_23
knockout_24,Snf2_rep24_MID42_allLanes_tophat2.0.5.bam.gbgout,knockout,24,knockout_24
knockout_26,Snf2_rep26_MID71_allLanes_tophat2.0.5.bam.gbgout,knockout,26,knockout_26
knockout_27,Snf2_rep27_MID34_allLanes_tophat2.0.5.bam.gbgout,knockout,27,knockout_27
knockout_28,Snf2_rep28_MID74_allLanes_tophat2.0.5.bam.gbgout,knockout,28,knockout_28
knockout_29,Snf2_rep29_MID57_allLanes_tophat2.0.5.bam.gbgout,knockout,29,knockout_29
knockout_30,Snf2_rep30_MID16_allLanes_tophat2.0.5.bam.gbgout,knockout,30,knockout_30
knockout_31,Snf2_rep31_MID77_allLanes_tophat2.0.5.bam.gbgout,knockout,31,knockout_31
knockout_32,Snf2_rep32_MID70_allLanes_tophat2.0.5.bam.gbgout,knockout,32,knockout_32
knockout_33,Snf2_rep33_MID29_allLanes_tophat2.0.5.bam.gbgout,knockout,33,knockout_33
knockout_34,Snf2_rep34_MID14_allLanes_tophat2.0.5.bam.gbgout,knockout,34,knockout_34
knockout_36,Snf2_rep36_MID23_allLanes_tophat2.0.5.bam.gbgout,knockout,36,knockout_36
knockout_37,Snf2_rep37_MID46_allLanes_tophat2.0.5.bam.gbgout,knockout,37,knockout_37
knockout_38,Snf2_rep38_MID06_allLanes_tophat2.0.5.bam.gbgout,knockout,38,knockout_38
knockout_39,Snf2_rep39_MID19_allLanes_tophat2.0.5.bam.gbgout,knockout,39,knockout_39
knockout_40,Snf2_rep40_MID12_allLanes_tophat2.0.5.bam.gbgout,knockout,40,knockout_40
knockout_41,Snf2_rep41_MID79_allLanes_tophat2.0.5.bam.gbgout,knockout,41,knockout_41
knockout_42,Snf2_rep42_MID47_allLanes_tophat2.0.5.bam.gbgout,knockout,42,knockout_42
knockout_43,Snf2_rep43_MID73_allLanes_tophat2.0.5.bam.gbgout,knockout,43,knockout_43
knockout_44,Snf2_rep44_MID65_allLanes_tophat2.0.5.bam.gbgout,knockout,44,knockout_44
knockout_45,Snf2_rep45_MID86_allLanes_tophat2.0.5.bam.gbgout,knockout,45,knockout_45
knockout_46,Snf2_rep46_MID35_allLanes_tophat2.0.5.bam.gbgout,knockout,46,knockout_46
knockout_47,Snf2_rep47_MID56_allLanes_tophat2.0.5.bam.gbgout,knockout,47,knockout_47
knockout_48,Snf2_rep48_MID55_allLanes_tophat2.0.5.bam.gbgout,knockout,48,knockout_48
