"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAR009C",1253.12332947246,-2.46221247027492,0.032142646163065,-76.6026685476893,0,0
"YAR071W",1656.71158158199,-4.27175060753468,0.0447665123491865,-95.4229039379768,0,0
"YBL005W",531.700739692908,-1.23721264625896,0.0275278036456452,-44.9441104050696,0,0
"YBL005W-B",1433.90295928842,-2.19532060766618,0.0325312942862123,-67.4833466000958,0,0
"YBL100W-B",450.601242268116,-1.24897239274076,0.0285705006901655,-43.7154534421819,0,0
"YBR012W-B",1176.3663642542,-2.04282281447022,0.0300079931579047,-68.0759557535456,0,0
"YBR067C",4108.486988954,-2.89922913026174,0.0588107806861476,-49.297579396776,0,0
"YBR070C",418.28916416129,1.56542087486015,0.0321724349570629,48.6572084751854,0,0
"YBR092C",1288.8050266887,-2.75004220125472,0.0580858278960276,-47.3444607895963,0,0
"YBR093C",1221.40711157198,-2.29798355453089,0.0553823098798206,-41.4930969747832,0,0
"YBR244W",309.861270290883,-2.63469995598383,0.0582228689065143,-45.2519775384866,0,0
"YCL019W",602.268654146946,-1.38878808299376,0.0295859800335578,-46.9407496867952,0,0
"YCL064C",3093.36061039715,-1.36987896498836,0.0176540500742376,-77.5957335131509,0,0
"YCR018C",193.990017638947,-1.61274076110679,0.0373686082010431,-43.157635211626,0,0
"YCR025C",87.81596982385,2.53782373932557,0.0604273789559012,41.9979119262749,0,0
"YDL037C",191.738205222008,-4.20654567151735,0.111284855865735,-37.7998033855796,0,0
"YDL039C",1561.14157141203,-3.08974700272771,0.0721700545229295,-42.8120364208129,0,0
"YDR011W",1820.57647636768,-1.28858452663948,0.0219894511629324,-58.6001222627894,0,0
"YDR033W",4170.80253531705,-3.77462613358162,0.0325719852403664,-115.885663883445,0,0
"YDR034C-D",714.495461833409,-1.36708277136498,0.0263710822824908,-51.8402224345819,0,0
"YDR055W",1624.27015241619,-2.13853844638101,0.0541774283465667,-39.4728674218538,0,0
"YDR077W",25848.3524793019,-3.46360710500961,0.0675337810256464,-51.2870307630826,0,0
"YDR098C-B",1388.28951849376,-2.14594500231832,0.0301188057442116,-71.2493390522544,0,0
"YDR210C-D",1422.70763841861,-2.10129245967374,0.0314578059020968,-66.7971716213583,0,0
"YDR210W-B",646.785857836741,-1.23996667702284,0.0274728961651331,-45.134181324375,0,0
"YDR261C-D",1587.22883437031,-2.59673807875702,0.0328221025036681,-79.11553132426,0,0
"YDR261W-B",579.459326277718,-1.25845285942769,0.028644488039379,-43.933508523442,0,0
"YDR281C",81.8709782720508,-3.86651047383385,0.0814063853793084,-47.4964028413504,0,0
"YDR316W-B",1474.57194329527,-2.29790165641299,0.0323756112558305,-70.9763172733661,0,0
"YDR365W-B",1494.97077567302,-2.36113499765114,0.0298686802211181,-79.0505298584218,0,0
"YDR399W",1660.62317000459,-1.87414983374339,0.0385632558034272,-48.5993673173424,0,0
"YDR406W",1474.15193764609,-2.01312886964032,0.0277128781301157,-72.6423599955372,0,0
"YER001W",660.814712829829,-2.34773360555808,0.0383291850975358,-61.2518528526978,0,0
