"replicate_number","runs","mean_subsample_significant_genes","mean_recovered_genes","mean_subsample_only_genes","mean_recovery_percentage","standard_deviation","median_recovery_percentage","minimum_recovery_percentage","maximum_recovery_percentage"
3,100,1811.03,1776.55,34.48,34.6508679539692,9.00548954519538,34.2110395943047,19.0754827384435,60.191144919056
4,100,2433.01,2389.66,43.35,46.6093231909499,8.10582471770109,46.1088355763604,30.4466549639165,66.6471620830895
5,100,2718.67,2672.94,45.73,52.1345816266823,6.82859991246341,51.9309537741369,34.4255900136532,69.1437487809635
6,100,2970.79,2929.78,41.01,57.1441388726351,5.56386772726207,57.558026136142,42.2859371952409,68.1685196021065
7,100,3214.79,3169,45.79,61.8100253559587,5.6893235416493,61.2151355568559,45.9332943241662,73.9808855080944
8,100,3401.5,3349.25,52.25,65.3257265457382,4.90077247100836,64.7649697678955,55.4515311098108,77.1601326311683
9,100,3582.84,3523.47,59.37,68.7238150965477,4.78600011875544,69.2900331577921,56.6218061244392,78.8570314023796
10,100,3737.08,3669.45,67.63,71.5710942071387,3.99577650773,72.0694363175346,62.0635849424615,81.548663936025
